date,river_max_c,air_max_c,offset_c,month,year
2013-01-04,8.61800003051758,12.2,-3.5819999694824194,1,2013
2013-01-05,8.79199981689453,10.9,-2.108000183105471,1,2013
2013-01-06,9.03999996185303,12.4,-3.3600000381469712,1,2013
2013-01-07,8.81700038909912,12.9,-4.082999610900881,1,2013
2013-01-08,9.06400012969971,12.9,-3.8359998703002898,1,2013
2013-01-09,8.89099979400635,10.8,-1.9090002059936513,1,2013
2013-01-10,8.89099979400635,9.6,-0.7090002059936502,1,2013
2013-01-11,9.23799991607666,10.9,-1.6620000839233402,1,2013
2013-01-12,8.51900005340576,8.4,0.11900005340575959,1,2013
2013-01-13,8.79199981689453,9.2,-0.4080001831054698,1,2013
2013-01-14,8.61800003051758,7.2,1.4180000305175797,1,2013
2013-01-15,8.17000007629395,5.8,2.370000076293951,1,2013
2013-01-16,7.86999988555908,4.3,3.5699998855590804,1,2013
2013-01-17,7.24200010299683,2.1,5.14200010299683,1,2013
2013-01-18,6.17899990081787,4.7,1.47899990081787,1,2013
2013-01-19,6.61100006103516,9.7,-3.0889999389648395,1,2013
2013-01-20,7.11600017547607,9.9,-2.7839998245239306,1,2013
2013-01-21,6.98999977111816,9.4,-2.4100002288818407,1,2013
2013-01-22,7.24200010299683,9.3,-2.057999897003171,1,2013
2013-01-23,7.24200010299683,7.0,0.24200010299682972,1,2013
2013-01-24,6.78800010681152,7.5,-0.7119998931884801,1,2013
2013-01-25,6.38199996948242,5.4,0.9819999694824197,1,2013
2013-01-26,6.45800018310547,9.0,-2.5419998168945304,1,2013
2013-01-27,6.63600015640259,8.5,-1.8639998435974103,1,2013
2013-01-28,7.29300022125244,11.2,-3.9069997787475597,1,2013
2013-01-29,7.34299993515015,13.1,-5.75700006484985,1,2013
2013-01-30,7.41900014877319,17.1,-9.680999851226812,1,2013
2013-01-31,7.76999998092651,14.7,-6.930000019073489,1,2013
2013-02-01,8.04500007629395,14.9,-6.85499992370605,2,2013
2013-02-02,8.09500026702881,10.3,-2.2049997329711903,2,2013
2013-02-03,7.76999998092651,7.4,0.36999998092650976,2,2013
2013-02-04,7.89499998092651,11.7,-3.805000019073489,2,2013
2013-02-05,7.96999979019165,13.3,-5.33000020980835,2,2013
2013-02-06,8.14500045776367,9.6,-1.4549995422363295,2,2013
2013-02-07,8.04500007629395,6.5,1.5450000762939506,2,2013
2013-02-08,7.41900014877319,7.0,0.4190001487731898,2,2013
2013-02-09,6.94000005722046,6.4,0.5400000572204595,2,2013
2013-02-10,6.63600015640259,2.8,3.83600015640259,2,2013
2013-02-11,6.43300008773804,5.4,1.0330000877380394,2,2013
2013-02-12,6.2810001373291,9.0,-2.7189998626709,2,2013
2013-02-13,6.35699987411499,5.8,0.5569998741149904,2,2013
2013-02-14,5.92399978637695,9.5,-3.5760002136230504,2,2013
2013-02-15,6.40799999237061,10.7,-4.292000007629389,2,2013
2013-02-16,6.61100006103516,11.0,-4.38899993896484,2,2013
2013-02-17,6.88899993896484,11.9,-5.01100006103516,2,2013
2013-02-18,7.04099988937378,10.9,-3.85900011062622,2,2013
2013-02-19,7.34299993515015,11.7,-4.357000064849849,2,2013
2013-02-20,7.56899976730347,11.7,-4.131000232696529,2,2013
